Αφρική	アフリカ
Αύγουστος Κρογκ	アウグスト・クローグ
Panavia Tornado	トーネード IDS
Στριπτίζ	ストリップティーズ
381 Μύρρα	ミルラ (小惑星)
Φιλαρμονική Βερολίνου	ベルリン・フィルハーモニー管弦楽団
382 Δωδώνη	ドドナ (小惑星)
Ελ Λισίτσκι	エル・リシツキー
Οίδημα	浮腫
Καμίλα, Δούκισσα της Κορνουάλης	カミラ (コーンウォール公爵夫人)
383 Γιανίνα	ジャニーナ (小惑星)
384 Βουρδιγάλη	ブルディガラ (小惑星)
Κορράδος Β΄ της Αγίας Ρωμαϊκής Αυτοκρατορίας	コンラート2世 (神聖ローマ皇帝)
385 Ίλματαρ	イルマタル (小惑星)
Αλεξάνδρα της Δανίας	アレクサンドラ・オブ・デンマーク
Ο Ασπροδόντης	白牙
386 Σιεγένη	ジーゲナ (小惑星)
Ζωρζ Μελιές	ジョルジュ・メリエス
Έντουαρντ Μπένες	エドヴァルド・ベネシュ
387 Ακουιτανία	アクイタニア (小惑星)
Κεντρικές Δυνάμεις	中央同盟国
388 Χάρυβδις	カリュブディス (小惑星)
Αράμ Χατσατουριάν	アラム・ハチャトゥリアン
Καρλ Γκούσταφ Έμιλ Μάνερχαϊμ	カール・グスタフ・エミール・マンネルヘイム
Σύλβια της Σουηδίας	シルヴィア (スウェーデン王妃)
Γυμνισμός	ヌーディズム
389 Ιντούστρια	インドゥストリア (小惑星)
Κυκλώνας Ναργκίς	サイクロン・ナルギス
Πρίγκιπας Χάρρι	ヘンリー・オブ・ウェールズ
Ισορόκου Γιαμαμότο	山本五十六
Καλέμα Μοτλάντε	カレマ・モトランテ
39 Λαιτίσια	ラエティティア (小惑星)
390 Άλμα	アルマ (小惑星)
Λάσλο Σόλιομ	ショーヨム・ラースロー
Βραβείο Καρλομάγνος	カール大帝賞
Mercedes-Benz Arena	メルセデス・ベンツ・アレーナ
391 Ίνγκεμποργκ	インゲボルク (小惑星)
ITIL	Information Technology Infrastructure Library
Μπέλα Δ΄ της Ουγγαρίας	ベーラ4世
392 Βιλελμίνη	ウィルヘルミナ (小惑星)
Ταραχές του Δεκεμβρίου 2008 στην Ελλάδα	2008年ギリシャの暴動
Κενκένης	ジェル (ファラオ)
Μάρκο Ρόις	マルコ・ロイス
Ισμαήλ Χανίγια	イスマーイール・ハニーヤ
Τσαϊτέν (ηφαίστειο)	チャイテン山
Μοχάμετ Νασίντ	モハメド・ナシード
393 Λαμπετίη	ランペティア (小惑星)
Ζουάν Μιρό	ジョアン・ミロ
Τέοντορ Αντόρνο	テオドール・アドルノ
395 Δηλία	デリア (小惑星)
394 Αρδουίνα	アルデュイナ (小惑星)
Άλφρεντ Άντλερ	アルフレッド・アドラー
Αγία Δωρεά	聖体の祝日
Σμιθσονίτης	菱亜鉛鉱
Αφθώδης πυρετός	口蹄疫
Zyklon B	ツィクロンB
396 Αιολία	アエオリア (小惑星)
397 Βιέννη	ヴィエンナ (小惑星)
398 Αδμήτη	アドメテ (小惑星)
Εθνική Ανατολικής Γερμανίας (ποδόσφαιρο ανδρών)	サッカー東ドイツ代表
Ευγένιος της Σαβοΐας	オイゲン・フォン・ザヴォイエン
399 Περσεφόνη	ペルセフォネ (小惑星)
Άλβα Μίρνταλ	アルバ・ライマル・ミュルダール
Γιάνους Κόρτσακ	ヤヌシュ・コルチャック
United Buddy Bears	ユナイテッドバディーベア
40 Αρμονία	ハルモニア (小惑星)
Τζέρι Μπράουν	ジェリー・ブラウン
400 Ντουκρόζα	デュクローザ (小惑星)
Μόναχο (ταινία 2005)	ミュンヘン (映画)
Λουδοβίκος ο Γερμανικός	ルートヴィヒ2世 (東フランク王)
Υπερβραχέα κύματα	超短波
Σχέδιο Σλίφεν	シュリーフェン・プラン
Ιωσήφ Α΄ της Αγίας Ρωμαϊκής Αυτοκρατορίας	ヨーゼフ1世
Μάχη της Πολτάβας	ポルタヴァの戦い
401 Οττιλία	オッティリア (小惑星)
Γλυκειά μου Σαμπρίνα	麗しのサブリナ
Ιβηρικός πόλεμος	半島戦争
Λέοναρντ Μπερνστάιν	レナード・バーンスタイン
Σαλικός νόμος	サリカ法典
Έντι Φενέκ Αντάμι	エドワルド・フェネク・アダミ
Βασιλίσκος (μυθολογία)	バジリスク
Ρόμπερτ Κάπα	ロバート・キャパ
402 Χλόη	クロエ (小惑星)
Zero Dark Thirty	ゼロ・ダーク・サーティ
Αλφρέδο Στρέσνερ	アルフレド・ストロエスネル
Blind Guardian	ブラインド・ガーディアン
Einsatzgruppen	アインザッツグルッペン
Μαρία Θηρεσία της Ισπανίας	マリー・テレーズ・ドートリッシュ
403 Κυάνη	キアネ (小惑星)
Πείραμα των Χέρσεϊ και Τσέις	ハーシーとチェイスの実験
Völkischer Beobachter	フェルキッシャー・ベオバハター
404 Αρσινόη	アルシノエ (小惑星)
Ελεύθερη Γαλλία	自由フランス
405 Θεία	ティア (小惑星)
Stadium Arcadium	ステイディアム・アーケイディアム
406 Έρνα	エルナ (小惑星)
407 Αράχνη	アラクネ (小惑星)
HDI-Arena	ニーダーザクセンシュタディオン
408 Φάμα	ファーマ (小惑星)
409 Ασπασία	アスパシア (小惑星)
Στρατόπεδο εξόντωσης Σομπιμπόρ	ソビボル強制収容所
Σάλτσαχ	ザルツァハ川
410 Χλωρίς	クロリス (小惑星)
2η Μπούντεσλιγκα	2. ブンデスリーガ (ドイツサッカー)
411 Ξάνθη	クサンテ (小惑星)
412 Ελιζαμπέτα	エリザベータ (小惑星)
Κεντρικό Γραφείο Ασφαλείας του Ράιχ	国家保安本部
413 Εντμπούργκα	エドブルガ (小惑星)
Ερρίκος Ζ΄ του Λουξεμβούργου	ハインリヒ7世 (神聖ローマ皇帝)
Πορτογαλικά κέρματα ευρώ	ポルトガルのユーロ硬貨
Ολλανδικά κέρματα ευρώ	オランダのユーロ硬貨
414 Λειριόπη	リリオペ (小惑星)
Καιέχως	ラネブ
Μπραντ Ρένφρο	ブラッド・レンフロ
Η Ζωή του Πι (ταινία)	ライフ・オブ・パイ/トラと漂流した227日
Παυλίνα Βοναπάρτη - Μποργκέζε	ポーリーヌ・ボナパルト
Έμιλ Νόλντε	エミール・ノルデ
415 Παλατία	パラティア (小惑星)
Ουμπέρτο Μποτσιόνι	ウンベルト・ボッチョーニ
Στρατόπεδο συγκέντρωσης Μπούχενβαλντ	ブーヘンヴァルト強制収容所
Χώρος Υγειονομικής Ταφής Απορριμμάτων	最終処分場
416 Βατικάνα	ヴァチカーナ (小惑星)
Κέβιν Κίγκαν	ケビン・キーガン
Χανς φον Άαχεν	ハンス・フォン・アーヘン
Πανεπιστήμιο του Γκέτινγκεν	ゲオルク・アウグスト大学ゲッティンゲン
Ηράκλειες στήλες	ヘラクレスの柱
Χριστουγεννιάτικο ημερολόγιο	アドベントカレンダー
Η γυμνή μάχα	裸のマハ
417 Σουηβία	スエビア (小惑星)
Mojibake	文字化け
Καρλ-Χάινς Ρουμενίγκε	カール＝ハインツ・ルンメニゲ
Πυραμίδα του Μπολ	ボールズ・ピラミッド
Αιώνιο	アエオニウム属
Αλβοΐνος	アルボイーノ
Ιάννης Ξενάκης	ヤニス・クセナキス
Φέι Μπέιντερ	フェイ・ベインター
Μπένεντικτ Χέβεντες	ベネディクト・ヘーヴェデス
Τάνγκα (Τανζανία)	タンガ (タンザニア)
418 Αλεμανία	アレマニア (小惑星)
Ζαν-Κλοντ Τρισέ	ジャン＝クロード・トリシェ
Ροδόλφος πρίγκηπας της Αυστρίας	ルドルフ (オーストリア皇太子)
Συνθήκες του Λοκάρνο	ロカルノ条約
Γεώργιος Β΄ της Ελλάδας	ゲオルギオス2世 (ギリシャ王)
419 Αυρηλία	アウレリア (小惑星)
Σκαθάρι (αυτοκίνητο)	フォルクスワーゲン・タイプ1
Αντιστράτηγος	中将
Ταξίαρχος	准将
Σιναϊτικός Κώδικας	シナイ写本
420 Βερθόλδη	ベルトルダ (小惑星)
Κρίστοφ Μετσέλντερ	クリストフ・メッツェルダー
Άμπβερ	アプヴェーア
421 Τσορινγκία	ツェーリンギア (小惑星)
Ζόλταν Κόνταλυ	コダーイ・ゾルターン
Μπρουνέι-Μουάρα	ブルネイ・ムアラ地区
Βασίλειο της Σαξωνίας	ザクセン王国
Μαξιμίλιαν Σελλ	マクシミリアン・シェル
Χοσέ Ορτέγα ι Γκασέτ	ホセ・オルテガ・イ・ガセット
Μπρικέτα	成形木炭
Ερρίκος Γ΄ της Αγίας Ρωμαϊκής Αυτοκρατορίας	ハインリヒ3世 (神聖ローマ皇帝)
Κονσταντίν Μπρανκούζι	コンスタンティン・ブランクーシ
Πόλκα	ポルカ
423 Διοτίμα	ディオティマ (小惑星)
Ανατολική Φραγκία	東フランク王国
42355 Τυφών	テュフォン (小惑星)
Ότο Ντιξ	オットー・ディクス
Τριμερές Σύμφωνο του Άξονα	日独伊三国同盟
Ανεξάρτητο Κράτος της Κροατίας	クロアチア独立国
424 Χαριτία	グラティア (小惑星)
Σκάτμαν Τζον	スキャットマン・ジョン
Λέναρτ Μέρι	レナルト・メリ
Έλιας Λένροτ	エリアス・リョンロート
Βάλντας Άνταμκους	ヴァルダス・アダムクス
Βαγγέλης Παπαθανασίου	ヴァンゲリス
425 Κορνηλία	コルネリア (小惑星)
Έντουαρντ Βίκτορ Άπλετον	エドワード・アップルトン
Αντρέι Κολμογκόροφ	アンドレイ・コルモゴロフ
426 Ιππών	ヒッポ (小惑星)
Ζαν λε Ροντ ντ' Αλαμπέρ	ジャン・ル・ロン・ダランベール
Μαργκερίτ Ντυράς	マルグリット・デュラス
Λούκας Πίτσεκ	ウカシュ・ピシュチェク
Ναζιστικός χαιρετισμός	ナチス式敬礼
427 Γαλήνη	ガレネ (小惑星)
Πάκο ντε Λουθία	パコ・デ・ルシア
Μάχη της Κρήτης	クレタ島の戦い
428 Μοναχία	モナキア (小惑星)
Ανδρέας, Δούκας της Υόρκης	アンドルー (ヨーク公)
Επιχείρηση Θαλάσσιος Λέων	アシカ作戦
Ιπτάμενη βόμβα	V1飛行爆弾
Χλαμύδια	性器クラミジア感染症
Λευκό Ρόδο	白いバラ
429 Λωτίς	ロティス (小惑星)
Κίρο Γκλιγκόροφ	キロ・グリゴロフ
Μαρσέλ Σμέλτσερ	マルセル・シュメルツァー
Κόνσταντιν φον Νόιρατ	コンスタンティン・フォン・ノイラート
Ζακ Ντελόρ	ジャック・ドロール
430 Ύβρις	ヒブリス (小惑星)
Σιδηρά Φρουρά	鉄衛団
Χάινριχ Ίγκνατς Μπίμπερ	ハインリヒ・ビーバー
Άλαν Σίμονσεν	アラン・シモンセン
By the Way	バイ・ザ・ウェイ
Καταφύγιο του Χίτλερ	総統地下壕
431 Νεφέλη	ネフェレ (小惑星)
Αρχιεπίσκοπος Κύπρου Μακάριος Γ΄	マカリオス3世
Γκέμπχαρντ Λέμπερεχτ φον Μπλύχερ	ゲプハルト・レベレヒト・フォン・ブリュッヘル
Αλεμάνια Άαχεν	アレマニア・アーヘン
Γκρόιτερ Φιρτ	SpVggグロイター・フュルト
Βάλλενσταϊν	アルブレヒト・フォン・ヴァレンシュタイン
432 Πυθία	ピティア (小惑星)
Όπερα (κτήριο)	歌劇場
Brussels Airlines	ブリュッセル航空
Διαγωνισμός Τραγουδιού Eurovision 1983	ユーロビジョン・ソング・コンテスト1983
Παγκόσμιο Κύπελλο Συλλόγων 2010	FIFAクラブワールドカップ2010
The Marshall Mathers LP	ザ・マーシャル・マザーズ・LP
Tangerine Dream	タンジェリン・ドリーム
Αμανουλάχ Χαν	アマーヌッラー・ハーン
Waffen-SS	武装親衛隊
Ντήτριχ Μπουξτεχούντε	ディートリヒ・ブクステフーデ
Χάινριχ Συτς	ハインリヒ・シュッツ
Αυστρο-πρωσικός πόλεμος	普墺戦争
Ιταλική Κοινωνική Δημοκρατία	イタリア社会共和国
Γερμανική Νοτιοδυτική Αφρική	ドイツ領南西アフリカ
434 Ουγγαρία	ハンガリア (小惑星)
Πρίμο Λέβι	プリーモ・レーヴィ
Trabant	トラバント
Ουμβέρτος Α΄	ウンベルト1世
Οριάνα Φαλάτσι	オリアーナ・ファラーチ
435 Έλλα	エラ (小惑星)
Άδωξοι Μπάσταρδη	イングロリアス・バスターズ
Ζαν Αρπ	ジャン・アルプ
Άλμπρεχτ Άλτντόρφερ	アルブレヒト・アルトドルファー
Άλμπερτ Μπαντούρα	アルバート・バンデューラ
436 Πατρισία	パトリツィア (小惑星)
Deutsche Welle	ドイチェ・ヴェレ
Ντμίτρι Καμπαλέφσκι	ドミトリー・カバレフスキー
Έντιν Τζέκο	エディン・ジェコ
Ζωρζ Μπρακ	ジョルジュ・ブラック
Localhost	Localhost
Τιρόλο (ιστορική περιοχή)	チロル
437 Ροδία	ロディア (小惑星)
Ναζιστικά στρατόπεδα εξόντωσης	絶滅収容所
Μπας-Τερ (νησί)	バス・テール島
Αλτσίντε ντε Γκάσπερι	アルチーデ・デ・ガスペリ
Στάζι	シュタージ
438 Ζευξώ	ゼウクソ (小惑星)
Μάχη του Τάνενμπεργκ (1914)	タンネンベルクの戦い (1914年)
Τριπλή Συμμαχία	三国同盟 (1882年)
Οι Ζωές των Άλλων	善き人のためのソナタ
Το Εργαστήριο του Δρ. Καλιγκάρι	カリガリ博士
Ναμάκα (δορυφόρος)	ナマカ (衛星)
439 Οχάιο	オハイオ (小惑星)
Ισμαήλ Εμβέρ	エンヴェル・パシャ
Μίλοβαν Τζίλας	ミロヴァン・ジラス
Λουί Αντουάν ντε Μπουγκαινβίλ	ルイ・アントワーヌ・ド・ブーガンヴィル
Αριστίντ Μαγιόλ	アリスティド・マイヨール
Χριστιανός Α΄ της Δανίας	クリスチャン1世 (デンマーク王)
Βασίλειο της Βεστφαλίας	ヴェストファーレン王国
440 Θεοδώρα	シオドーラ (小惑星)
Αλβέρτος Α΄ της Γερμανίας	アルブレヒト1世 (神聖ローマ皇帝)
Γερμανική Ανατολική Αφρική	ドイツ領東アフリカ
