आफ्रिकाखण्डः	アフリカ
१९५	195年
१८६	186年
३४७	347年
६२०	620年
६२४	624年
६०५	605年
६२९	629年
६१६	616年
६१५	615年
६४४	644年
६४६	646年
६३३	633年
६३७	637年
मोघलसाम्राज्‍यम्	ムガル帝国
४३६	436年
४३४	434年
२९३	293年
४२७	427年
१८५	185年
३२१	321年
जालन्धर	ジャランダル
३२७	327年
४३०	430年
त्रोत्स्की	レフ・トロツキー
४४७	447年
लिटिल् राक्	リトルロック (アーカンソー州)
५६९	569年
हुब्बळ्ळी	フブリ・ダールワール
५६८	568年
४४४	444年
७९६	796年
गढ़वाली	ガルワーリー語
७९८	798年
एला	カルダモン
७९३	793年
६८५	685年
हार्टफ़र्ड्	ハートフォード (コネチカット州)
७९९	799年
६८३	683年
२७४	274年
डोवर्, डेलावेर्	ドーバー (デラウェア州)
५७९	579年
कुमाँऊनी	クマーオニー語
२८१	281年
३०६	306年
४३८	438年
कश्मीरी	カシミール語
२९७	297年
४२१	421年
२९८	298年
३५१	351年
३५२	352年
३५५	355年
९५	95年
९४	94年
५९४	594年
५४२	542年
४४८	448年
४४५	445年
३०५	305年
२३४	234年
५६५	565年
कन्नडभाषा	カンナダ語
३८१	381年
३८५	385年
५५३	553年
३०७	307年
५८४	584年
३४६	346年
२५७	257年
विद्युत्	雷
२८५	285年
५९१	591年
२८९	289年
हस्तः	手
५६३	563年
२५२	252年
ओडियाभाषा	オリヤー語
नेपाली भाषा	ネパール語
जनसङ्ख्या	人口
५९५	595年
२४६	246年
५९६	596年
५९३	593年
३५७	357年
५७३	573年
नेपालभाषा	ネパール・バサ語
वालपाराईसो	バルパライソ
अभिनेता	俳優
भल्लातकः	カシューナッツ
जलपातः	滝
५५९	559年
५९९	599年
३२६	326年
३४१	341年
३२२	322年
३८६	386年
३७४	374年
३८०	380年
नवनीतम्	バター
१३६	136年
कोङ्कणी	コンカニ語
लाइनस टोर्वाल्ड्स	リーナス・トーバルズ
अलेग्झाण्डर् ग्रहां बेल्	アレクサンダー・グラハム・ベル
फलितज्योतिषम्	占星術
वाद्ययन्त्राणि	楽器
हंसः	ハクチョウ属
न्‍यू आर्लीन्‍स	ニューオーリンズ
हिरोहितो	昭和天皇
३८२	382年
३४२	342年
३७३	373年
३७२	372年
सोमालिलैंड	ソマリランド
मधुकर्कटीफलम्	パパイア
३७५	375年
बेंजामिन फ्रैंकलिन	ベンジャミン・フランクリン
पर्णशाकम्	キャベツ
विल्हेल्म् कार्नार्ड् रोण्ट्जेन्	ヴィルヘルム・レントゲン
तत्त्वमीमांसा	形而上学
३८७	387年
कोलम्बो	コロンボ
आर्द्रकम्	ショウガ
द्रव्यम् (भौतविज्ञानम्)	物質
बाय्सी	ボイシ
श्वासरोगः	気管支喘息
हो चि मिन्ह	ホー・チ・ミン
मैथिली भाषा	マイティリー語
प्लाक्षफलम्	イチジク
मलयाळम्	マラヤーラム語
जीवनी	伝記
इगुवास्सुजलपातः	イグアスの滝
लोज़बानम्	ロジバン
हाम्मुरबी	ハンムラビ
महारानी काथरिन	エカチェリーナ2世
हान्निबल	ハンニバル
पिष्टानि	穀粉
गुग्लिमो मार्कोनी	グリエルモ・マルコーニ
अटिला	アッティラ
पालिभाषा	パーリ語
अङ्ग सान् सू की	アウンサンスーチー
नखः	爪
कुष्ठरोगः	ハンセン病
वदनम्	顔
टालाहासे	タラハシー (フロリダ州)
सर् अलेक्साण्डर् प्लेमिङ्ग्	アレクサンダー・フレミング
राष्ट्रियबालदिनम् (भारतम्)	子供の日
फ्लोरेन्स नैटिन्गेल	フローレンス・ナイチンゲール
गुल्बर्गा	グルバルガ
३३१	331年
३६५	365年
३७९	379年
राबर्ट् कोख्	ロベルト・コッホ
अध्यापकः	教員
रामायणम्	ラーマーヤナ
कलायः	ラッカセイ
जानु	膝
पिएरे क्युरी	ピエール・キュリー
टी. एस. एलियट	T・S・エリオット
पर्यावरणव्यवस्था	生態系
शीतकम्	冷蔵庫
मिष्टालुकम्	サツマイモ
ग्रिगोर् जान् मेण्डेल्	グレゴール・ヨハン・メンデル
रङ्गून	ヤンゴン
हेलेन केलर	ヘレン・ケラー
हेनरी ८	ヘンリー8世 (イングランド王)
सान्टा फ़े	サンタフェ (ニューメキシコ州)
देवनागरी	デーヴァナーガリー
कलिङ्गफलम्	スイカ
पाकशास्त्रम्	料理
ज्वरः	発熱
अन्ताराष्ट्रिय-महिलादिनम्	国際女性デー
शेयेन्	シャイアン (ワイオミング州)
रिचार्ड फैनमन	リチャード・P・ファインマン
आयतनम्	体積
नारङ्ग	オレンジ色
पोल पॉट	ポル・ポト
पेट्रोल्	ガソリン
क्रिस्टियन् हुगेन्स्	クリスティアーン・ホイヘンス
डे माय्ने	デモイン (アイオワ州)
वातामम्	アーモンド
वेदः	ヴェーダ
जार्डन्-नदी	ヨルダン川
आम्लीयवर्षणम्	酸性雨
कार्ल बेन्ज़	カール・ベンツ
परवेज़ मुशर्रफ़	パルヴェーズ・ムシャラフ
पियेर्	ピア (サウスダコタ州)
धान्यानि	種子
एड्वर्ड् जेन्नर्	エドワード・ジェンナー
अण्डमाननिकोबारद्वीपसमूहः	アンダマン・ニコバル諸島
वर्नर हाइजेनबर्ग	ヴェルナー・ハイゼンベルク
नेफेरतिति	ネフェルティティ
एवा पेरोन	エバ・ペロン
ललाटम्	額
टोपेका	トピカ (カンザス州)
इटानगरम्	イーターナガル
मार्टिन स्कोर्सेसे	マーティン・スコセッシ
ग्रनैट् (शिला)	花崗岩
कर्ट गोडेल	クルト・ゲーデル
आमलकम्	セイヨウスグリ
डेविड हिल्बर्ट	ダフィット・ヒルベルト
छत्रम्	傘
कुस्तुम्बरी	コリアンダー
रमजान्	ラマダーン
भारतस्य राष्ट्रध्वजः	インドの国旗
हेण्ड्रिक लारेन्ज़	ヘンドリック・ローレンツ
चित्तौडगढ	チットールガル
अन्तरतारकीयमाध्यमम्	星間物質
मनमोहन सिंह	マンモハン・シン
रोजा पार्क्स	ローザ・パークス
अन्वर् अल्-सादात्	アンワル・アッ＝サーダート
स्टार् वार्स्:रिवेंज् आफ़् दि सिथ्	スター・ウォーズ エピソード3/シスの復讐
गोबीमरुस्थलम्	ゴビ砂漠
संशोधनस्य प्रयोजनानि	研究
गूगल् अर्त्	Google Earth
बर्न्हार्ड रीमन	ベルンハルト・リーマン
मृत्तिका	粘土
शिम्बी	インゲンマメ
मल्लक्रीडा	レスリング
गन्धद्रव्याणि	香辛料
सिन्धुसंस्कृतिः	インダス文明
हरिद्रा	ウコン
कूर्परः	肘
ओलम्पिया	オリンピア (ワシントン州)
बोरोबुदुर्	ボロブドゥール遺跡
वाहनम्	乗り物
कृष्णः	クリシュナ
आग्रा	アーグラ
तैलम्	油
इवान् पेत्रोविच् पाव्लोव्	イワン・パブロフ
